author-link,author-link-href,title-link,title-link-href,text,pagination,pagination-href
"","","Quaestio De Centauris","http://www.newyorker.com/magazine/2015/06/08/quaestio-de-centauris","I immediately realized that I had behaved badly; in fact, I realized it during the act itself, and still today it pains me. Yet I also know that the fault was not all mine, nor was it Teresa’s. Trachi was with us: we had immersed ourselves in his aura, we had gravitated into his field. I know this because I myself had seen that wherever he passed flowers bloomed before their time, and their pollen flew in his wake as he ran.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","High fives all around.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","We met mining captains and fishing captains, whose whiskers quivered like those of orphaned seals. The freckled heirs to timber fortunes. Glazy baronial types, with portentous and misguided names: Romulus and Creon, who were pleased to invite us to gala dinners, and to use us as their gloating mirrors. In exchange for this service, Clara and I helped ourselves to many fine items from their houses. Clara had a magic satchel that seemed to expand with our greed, and we stole everything it could swallow. Dessert spoons, candlesticks, a poodle’s jewelled collar. We strode out of parties wearing our hostess’s two-toned heels, woozy with adrenaline. Crutched along by Clara’s sturdy charm, I was swung through doors that led to marmoreal courtyards and curtained salons and, in many cases, master bedrooms, where my skin glowed under the warm reefs of artificial lighting.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","We kissed a second time. I felt our teeth click together; two warm hands cupped my cheeks. But when he lifted his face, his anguish leapt out at me. His wild eyes were like bees trapped on the wrong side of a window, bouncing along the glass. “You . . . ” he began. He stroked at my cheek. “You feel . . . ” Very delicately, he tried kissing me again. “You taste . . . ” Some bewildered comment trailed off into silence. One hand smoothed over my dress, while the other rose to claw at his pale throat.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“Oh, God,” I heard one of them groan. “It’s happening again.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","He could have pointed out that such a ridiculous claim had to be ironic, but he saw that this was only half true. Irony was slippery; the sincerity of Annagret was firm. “You’re right,” he said gratefully. “I self-dramatize, too. It’s another way the two of us are alike.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“Dead.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Apartment","http://www.newyorker.com/magazine/2015/08/31/the-apartment","“Can I help you get back home?” Sara said. “Do you think you’ll make it on your own?”","",""
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","“One of my classmates died,” the girl announced. “She was in my grade at school.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“I already said we don’t have to go over it.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“We can go directly to the Stasi,” he said. “He broke his oath to them. The minute they think he might embarrass them, they’ll drop him like a hot potato. As far as they’re concerned, he’s just some bottom-tier collaborator—he’s nobody.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","A suspicion was coming into focus, a dreadful theory; I tried to talk it away, but the harder I looked, the keener it became. A quick scan of the room confirmed what I must have registered and ignored when I first walked through those doors. Were all of the boys’ eyes this same hue? Trying to stay calm, I gripped Clara’s hand and spun her around like a weathervane: gold, gold, gold, gold.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“What do you think of me saving them the trouble, ungh? They won’t even have to roll the rock back for me, since I’m living in my own cave shack. But maybe the animals will get in and eat my shrivelled corpse before they get me. Wouldn’t that be a shame?”","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“Dead.” “Dead.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","She slipped her arms into her coat, took her briefcase from the hall, and went outside, to where her car was parked in front of the house. “Bye, Finn,” she called, and raised her hand in a wave. He waved back, then returned to the task of untying one of the strings. Setting down her briefcase, she crossed the lawn, the heels of her shoes sinking into the damp ground, and stopped beside the net. For a moment, she considered what it might be like to climb onto it, to close her eyes, to sleep. Finn had managed to work the string loose, and now he was circling the tree with it again, but at a point higher up, round and round, preparing to refasten it. He stopped when it would go no further and began to tie a knot. “Here,” she said, “let me do that.”","",""
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“Yes, sir.”","",""
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","“What about your appointments?”","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","They croaked like pond frogs, all across the ballroom. “Dead” was a foreign word which the boys could pronounce perfectly, soberly and matter-of-factly, without comprehending its meaning.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“I’m not much of a dancer,” Lee apologized abruptly. As if to prove his point, he sent a glass crashing off the bar.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","She was driving home shortly after 6 P.M. with the radio set to a music station. She liked this stretch of the commute, the city traffic behind her, the winding country roads that led into Portlaoise, then out of it again. There was a particular house that drew her eye each evening, a house of the same period and style as their own, early-nineteenth-century Georgian, but better tended. In winter, candles in glass jars hung from holly trees, and now, in late spring, daffodils bloomed on either side of the long avenue. This evening, as she drove past, she felt not inspired but admonished. If it was still light by the time they finished dinner, she would attempt a clear-up of the beehives in the southwest corner of their property. She would ask Finn to help her; it might take his mind off all things dead. They could paint the hives different colors, use them as planting boxes; she had no desire to keep bees. Items of beekeeping equipment—a suit, a veiled hat, a smoker—had been among the things left behind in the shed, and she’d taken this as evidence that the people who had lived here before were beekeepers, but perhaps it was better evidence that they were not; that they were, at best, failed beekeepers. And for no reason that she could point to she knew that the beekeeping paraphernalia hadn’t belonged to the same person as the pony trap; these things, she was sure, were the leavings of two different people, the discarded parings of two separate lives.","",""
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“I don’t know,” I said. I had no idea what he meant by the numbers and their sounds in Korean. All I knew was that Koreans were as superstitious about the number four as Americans were about thirteen. Buildings didn’t have a fourth floor, and most Korean locker rooms had sequences that jumped from three to five, thirteen to fifteen, and thirty-nine to fifty.","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“Excuse me, sir. When does the celebration start?”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","Clara flanked him on the left, smiling just as politely.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","These Short, Dark Days","http://www.newyorker.com/magazine/2015/08/24/these-short-dark-days","“Two years,” the girl said to the ceiling. And then she brushed her fingertips over her belly. “I’ve got a baby coming in summer.”","",""
"","","The Driver","http://www.newyorker.com/magazine/2015/09/28/the-driver-fiction-thomas-mcguane","They crossed a creek on a noisy bridge where telephone poles had been stacked. Just beyond was an empty house and a car on blocks, then the road climbed slowly on a straightaway toward the first lights they had seen in a long time. As they approached, the driver slowed down, holding the top of his head with one hand: a sheriff’s car was parked there, and several officers stood on either side of the road near it. “An accident? Doesn’t seem like there’s enough cars to have one.” The driver rolled his window down. “But this is good, son. Maybe you’ll talk to these fellers.”","",""
"","","Silk Brocade","http://www.newyorker.com/magazine/2015/07/27/silk-brocade","Ann really was convinced that if you could only find the right clothes you could become whatever you wanted, you could transform yourself. She let the heavy fabric fall out of its folds and made Nola stand up, then held it against her in front of the cheval mirror, pulling it in around her waist, frowning expertly at Nola’s reflection across her shoulder, tugging and smoothing the cloth as if she were molding something. “You see? The off-white is very flattering against your dark hair and your lovely skin. There isn’t enough for a whole dress if you want full length, but I think we could get a fitted bodice and a little peplum out of it and find a matching plain fabric for the skirt. With your full figure you want to go for a nice clean silhouette, nothing fussy. This could look stunning, actually.”","",""
"","","Escape from New York","http://www.newyorker.com/magazine/2015/06/08/escape-from-new-york","“So—where are we?” Marlon said.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“O.K. We’ll try to make you normal again. But it would help if you could ride his motorbike. I’ve never been on one myself.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Apartment","http://www.newyorker.com/magazine/2015/08/31/the-apartment","Sara smiled, and in the smile Louise, even drunk, located judgment. This was how Jonas looked at her; Martin, too. The same sad eyes, the narrow, thin-lipped smile. They pitied her, thought she was ridiculous, incapable, unwell. She hated them all. “A woman died here,” she said.","",""
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","“A position at the museum in Athy.”","",""
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","It’s one thing to envy wealth and beauty and other gifts that seem to have been granted to others, but not to you, by obscure but undeniable givers. It’s another thing entirely to yearn for what’s so readily available to any drunk and barmaid who link up for three minutes in a dark corner of any dank and scrofulous pub.","",""
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“Ah, fuck it! We shouldn’t have let him talk to us like that. I’m not staying out here in the woods to fetch some damned arrows for the old man.” He shoved the water jug into my belly and stalked off down the trail to the river.","",""
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","I searched for Big Uncle’s arrows until the light waned and I could no longer discern the colors in the shadows. I was terribly frustrated at first, impatient and even angry as I waded through patches of high grass, cutting my flesh, or picked my way through tangles of shrubbery because I thought I had glimpsed a yellow feather on the other side. At one point, the heat of the day seeping into my sweaty body, I rested under a tree, half dozing in its cool shade and the breeze that came across the flat green river. In a momentary lapse into real sleep, I had the briefest of dreams: I was sitting with my back against a tree, but it was nighttime, and it was raining so hard that not even the branches could protect me; water sluiced down on me each time the wind shifted, and I tried to huddle into myself, chilled like the blade of a knife that could cut me to the bone. I was going to die, and the fear and the cold woke me up into the slightly thick and groggy heat of late afternoon. It must have been the heat, I thought. I dreamed of the opposite thing even though in my dream I’d been doing the same thing—looking for Big Uncle’s arrows. I resumed my search and, while the light held, I happened on a place where Big Uncle’s aim must have been especially bad. I found four arrows.","",""
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","A little breeze wound past them. Ruth remembered that breeze and was always grateful when it reappeared. The veranda was somewhat oppressive and in need of paint. Portions of the floor had rotted through, and you had to stay away from those.","",""
"","","Quaestio De Centauris","http://www.newyorker.com/magazine/2015/06/08/quaestio-de-centauris","The man-mare union, very seldom fertile today, produces and has produced only male centaurs, for which there must be a fundamental reason, though at present it eludes us. As for the inverse, the union between stallions and women, this has scarcely ever occurred, and comes about through the solicitation of dissolute women, who by nature are not particularly inclined to procreate.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Driver","http://www.newyorker.com/magazine/2015/09/28/the-driver-fiction-thomas-mcguane","Such was Mrs. Quantrill’s standing that her appearance in the grade-school principal’s office, with the then nine-year-old Spencer in tow, required a bit of fanfare, which she provided by doffing her coat and abruptly removing her lovely gloves a finger at a time. Back then, before such people concealed their prominence, it was not unusual to dress up even for small occasions such as this one. Mrs. Quantrill was the tallest person in the room and very thin, with unblinking blue eyes. Spencer hovered beside her as Mr. Cooper, the principal, in a tan suit and referee’s whistle, directed them to two chairs, then sidled behind his desk and sat down, fingers laced under his chin.","",""
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","To hear his mother tell it, because certain mothers break into story when you enter their homes, the birds were in ecstasy the day he was born, squawking over the hospital. The air was so crisp and cool that day, his mother would add, that you felt hugged by the wind. Her phrase. When little Carl was born, the whole neighborhood, per his mother, held its breath. Someone new is among us. Someone special. It was a revisionist birth narrative, likely concocted when it struck Carl’s mother, poor thing, that her son was just another piercingly boring need machine, underperforming and overwhelming, programmed to crave so much from her that she would soon forget her interests and reëngineer her whole self in order to supply the mothering that would keep her child, at the very least, out of jail, out of a coffin, and out of the sex-change doctor’s office. At which point she would subtly punish him with nearly imperceptible indifference and ambivalence. Parenting! As far as motives go, his mother had a pretty good one for her wholesale, self-serving fictionalization of Carl’s birth, and he forgave her, not that she ever asked him to, for glorifying his unremarkable début.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","Room 409 had natural wood walls, glowing with a piney shine in the low light. Lee sat down on a chair and tugged off his work boots, flushed with the yellow avarice of 4 A.M. Darkness flooded steadily out of him, and I absorbed it. “Jean,” he kept saying, a word that sounded so familiar, although its meaning now escaped me. I covered his mouth with my mouth. I sat on the ghost boy’s lap, kissing his neck, pretending to feel a pulse. Eventually, grumbling an apology, Lee stood and disappeared into the bathroom. I heard a faucet turn on; Lord knows what came pouring out of it. The room had a queen bed, and I pulled back a corner of the soft cotton quilt. It was so beautiful, edelweiss white. I slid in with my dress still pinned to me. I could not stop yawning; seconds from now, I’d drop off. I never wanted to go back out there, I decided. Why lie about this? There was no longer any chairlift waiting to carry us home, was there? No mountain, no fool’s-gold moon. The Earth we’d left felt like a photograph. And was it such a terrible thing, to live at the lodge?","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","I gaped at her. Was she still talking about prospecting?","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","Maybe the verdict on this could stay out for now. Just scattered into the distance, a verdict you could never really reach, even if you wanted to. Maybe, in whatever time he had left, Carl would work as hard as he could to keep the verdict on that question, along with every other question that pressed in, as far away from his family as humanly possible. ♦","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","5. One can infer from the text that the teachers at the school:","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","The hand on her belly inched downward, and her heart began to hammer.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","We were quiet; it was late by then, almost nighttime. He sat down, looking absorbed, thoughtful. “I didn’t get a high score,” he said, when it seemed that there wouldn’t be any more words. “I was the best in my class, in my whole school. I never cheated on an exam, but I bombed the aptitude test, so I had to study religious pedagogy. I didn’t even believe in God.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","Whoosh.","",""
"","","The Flower","http://www.newyorker.com/magazine/2015/06/29/the-flower","Nobody got drunk. Nobody slashed her mother’s face and nose, ruining her. Nobody took a knife and stabbed an uncle who held her foot and died as the blood gushed from his mouth. Another good thing she thought of while the other children wept was that the journey to the school had been arduous and far. Much too far for a head to roll. ♦","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","Out of the corner of my eye, I saw tears freezing onto Clara’s cheeks. Already she was fluffing her hair, asking this government employee how he’d gotten the enviable job of escorting beautiful women across the snows. How quickly she was able to snap back into character! I could barely move my frozen tongue, and I trudged along behind them.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","Again, Andreas suppressed the thought of how she’d persuaded the stepfather.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","These Short, Dark Days","http://www.newyorker.com/magazine/2015/08/24/these-short-dark-days","An hour later, when Mrs. Gertler returned to reclaim her apartment, Annie was up and dressed and sitting in a chair by the window with one of Sister Jeanne’s handkerchiefs clutched in both hands. The two nuns walked up the stairs with her, Sister Jeanne ahead and Sister St. Savior just behind.","",""
"","","Quaestio De Centauris","http://www.newyorker.com/magazine/2015/06/08/quaestio-de-centauris","I quickly understood that Teresa was not as shy as she initially appeared to be: she chose, as if by chance, a narrow path that led into the thickest part of the woods; I knew it was a dead end, and knew that Teresa knew. Where the path came to an end, she sat down on dry leaves and I did the same. The valley bell tower rang out seven times, and she pressed up against me in a way that rid me of all doubt. By the time we got home, night had fallen, but Trachi hadn’t yet returned.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Apartment","http://www.newyorker.com/magazine/2015/08/31/the-apartment","Louise didn’t believe in fate. Every morning she woke up with the thought that that day would be the one when something terrible was destined to happen. She did this because she knew it was impossible to predict what was coming for each of us. Whatever she believed would happen that day she knew would not, owing to our inability to know the future. Lately, she’d been imagining horrific things. Car accidents, robberies, disease. Martin thought it was unhealthy and told her so frequently.","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","Fully out of his head, he dropped the bread on the ground and wandered back to the shed with the shovel. He could almost not remember where he was. He started to clean his gloved hands on the wet grass but was too out of his head to finish the job. He wandered around the edge of the yard, stepped wrong and left a deep footprint in a flower bed, dropped to his knees and madly filled it, and managed to leave an even deeper footprint. By now he was convinced that minutes were passing like seconds without his knowing it. From a great distance he could discern his ridiculousness. He could picture himself spending the rest of the night leaving footprints while cleaning his hands after filling footprints he’d left while cleaning his hands, but he also sensed the danger of picturing this. If he let his resolution be taken over by silliness, he was liable to put down the shovel and go back to the city and laugh at the idea of himself as a killer. Be the former Andreas, not the man he wanted to be now. He saw it clearly in those terms. He had to kill the man he’d always been, by killing someone else.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“Dead.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","Carl reached up, too late, to cover his face. He didn’t want to be a burden—at least, not to just anyone. And yet, fuck this guy. Didn’t Emily Post have a whole chapter on hiding all reaction to astonishing creatures who appeared at your door? Shutting your little face down so as not to reveal the horror and disgust you might really feel?","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","At first, the climb was beautiful. An evergreen army held its position in the whipping winds. Soon, the woods were replaced by fields of white. Icy outcroppings rose like fangs out of a pink-rimmed sky. We rose, too, our voices swallowed by the cables’ groaning. Clara was singing something that I strained to hear, and failed to comprehend.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“I just want to be normal again. I don’t want to be like you.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Flower","http://www.newyorker.com/magazine/2015/06/29/the-flower","Again, that night, he heard the battle outside, anguished, desperate. Again, at first light, he felt her curl against him and smelled the scorched dog. Again, when she woke, she tuned and beat the drum. The same song transported him. He put his hand to his head. She’d cut up her blanket, crowned him with a warm woollen turban. That night, he opened his eyes and saw the world rock to a halt. Joyously, he whispered, I am back. I have returned.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","You tell her that a promise was made. You leave it at that.","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","This was the truth but also, deep down, a total lie, and Annagret called him on it. “Everyone thinks they have strict limits,” she said, “until they cross them.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","“Because we go to the National Institute?” I asked.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“It’s a pretty far-fetched idea, don’t you think?”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Apartment","http://www.newyorker.com/magazine/2015/08/31/the-apartment","“Oh, listen to me,” Louise said, handing the cookies to Sara. “These are for you. Welcome.”","",""
"","","Silk Brocade","http://www.newyorker.com/magazine/2015/07/27/silk-brocade","“What do you know about Fishponds?” Ann said sharply.","",""
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","You do not, of course, say this aloud, but if she can’t you’ll raise the child in a forest glade. You’ll teach him the botanical names of the trees, and the secret names of the animals. You’ll instruct him in the arts of mercy and patience. And you’ll see, in the boy, certain of her aspects—the great dark pools of her eyes, maybe, or her slightly exaggerated, aristocratic nose.","",""
"","","In the Act of Falling","http://www.newyorker.com/magazine/2015/09/07/in-the-act-of-falling","A man was walking at speed along the track, breaking now and again into a run. He veered off and came toward her, his head bent, his hands in the pockets of his anorak. He was in his thirties, she guessed, with straggly brown hair and a reddish-brown beard, a colony of pimples on one cheek. “I heard you calling him,” he said. “I know where he is.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","Andreas tried to grab the receiver. The officer shoved him in the chest and knocked him to the floor.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Reading Comprehension: Text No. 1","http://www.newyorker.com/magazine/2015/07/06/reading-comprehension-text-no-1","I asked him if now, as a Metro conductor, he earned more money. “Twice as much,” he replied. I asked him if he believed in God now, and he answered that yes, now more than ever, he believed in God. I never forgot, I’ll never forget his gesture then: with a lit cigarette between his index and middle fingers, he looked at the back of his hand as if searching for his veins, and then he turned it over, as if to make sure that his life, head, and heart lines were still there.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“Aigo, you unmannered fools.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“I have to see you,” he said, for no reason except honesty. “It’s killing me not to see you.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","She says, “Is it Brom?”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“When you look in the mirror,” he said, “what do you see? Someone pretty?”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","My Curls Have Blown All the Way to China","http://www.newyorker.com/magazine/2015/09/21/my-curls-have-blown-all-the-way-to-china","And from now on we’re done with the playacting in bed.","",""
"","","The Grow-Light Blues","http://www.newyorker.com/magazine/2015/06/22/the-grow-light-blues","Carl stood up and shadowboxed, ducking and weaving, but the effort left him dizzy and breathless. He sat back down.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","These Short, Dark Days","http://www.newyorker.com/magazine/2015/08/24/these-short-dark-days","At six, the street lamps gave a polish to the wet windowpanes and the scattered black puddles in the street. Lamplight was reflected as well on the rump of a fire truck, and on the pale faces of a gathered crowd, with an extra sparkle on those who wore glasses—Sister St. Savior, for instance, a Little Sister of the Sick Poor, who had spent the afternoon collecting alms in the vestibule of the Woolworth’s at Borough Hall. She was now on her way back to the convent, her bladder full, her ankles swollen, her round lenses turned toward the street light and the terrible scent of doused fire on the winter air.","",""
"","","Chicken Hill","http://www.newyorker.com/magazine/2015/09/14/chicken-hill","“Mine’s around a six.”","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","The drizzle persisted through the week, with intermittent harder showers, and for three nights he obsessed about the rain, wondering whether it was good or bad. When he managed to sleep for a few minutes, he had dreams that he ordinarily would have found laughably obvious—a body not in the place where he’d left it, feet protruding from under his bed when people entered his room—but which under the circumstances were true nightmares, of the sort from which he ordinarily would have been relieved to awaken. But being awake was even worse now. He considered the plus side of rain: no moon. And the minus side: deep footprints and tire tracks. The plus side: easy digging and slippery stairs. And the minus side: slippery stairs. The plus side: cleansing. And the minus side: mud everywhere. . . . The anxiety had a life of its own; it churned and churned. The only thought that brought relief was that Annagret was unquestionably suffering even more. The relief was to feel connected to her. The relief was love, the astonishment of experiencing her distress more keenly than he experienced his own, of caring more about her than about himself. As long as he could hold that thought and exist within it, he could halfway breathe.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Duniazát","http://www.newyorker.com/magazine/2015/06/01/the-duniazat","There was a deep, sad wound in him, because he was a defeated man, had lost the great battle of his life to a dead Persian, Ghazali of Tus, an adversary who had been dead for eighty-five years. A hundred years earlier, Ghazali had written a book called “The Incoherence of the Philosophers,” in which he attacked Greeks like Aristotle, the Neoplatonists, and their allies, Ibn Rushd’s great precursors Ibn Sina and al-Farabi. Ghazali had suffered a crisis of belief at one point, but had recovered with such conviction that he became the greatest scourge of philosophy in the history of the world. Philosophy, he jeered, was incapable of proving the existence of God, or even of proving the impossibility of there being two gods. Philosophy believed in the inevitability of causes and effects, which was an insult to the power of God, who could easily intervene to make causes ineffectual and alter effects if He so chose.","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Escape from New York","http://www.newyorker.com/magazine/2015/06/08/escape-from-new-york","“Make that twenty-four years,” Marlon snapped, but with his classic wry Marlon smile, and all you could do was forgive him. “Scratch that,” he said, hamming it up now. “Make it forty.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","No.","",""
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“I was falling asleep,” I said, “but then I remembered your face.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","The Prospectors","http://www.newyorker.com/magazine/2015/06/08/the-prospectors","“Aubby? Are we the only girls here?”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“What’s good, Big Uncle?”","",""
"","","Five Arrows","http://www.newyorker.com/magazine/2015/08/03/five-arrows","“When I woke up, it was past dawn. The sun was above the horizon, and a streak of light was shining on my face. I sat there for the longest time, because I thought the ghost had tied me up to that tree, but then, when I finally had the strength and the courage to look around, I saw that I was sitting against the tree as if I were tied to it, but there were only a few dried-up strands of grass around me. Not even enough to weave into a bad straw rope.","",""
"","","Little Man","http://www.newyorker.com/magazine/2015/08/10/little-man","Althalos? Borin? Cassius? Cedric? Destrain? Fendrel? Hadrian? Gavin? Gregory? Lief? Merek? Rowan? Rulf? Sadon? Tybalt? Xalvador? Zane?","",""
"","","The Republic of Bad Taste","http://www.newyorker.com/magazine/2015/06/08/the-republic-of-bad-taste","“Oh, it’s just what they say.”","Older Entries","http://www.newyorker.com/magazine/fiction/page/2"
